736998,20171031,  1008,  1,  91,   610, -1,  80
737001,20171103,   907,  0,  79,   197,  0,  60
737001,20171103,   305,  0,  84,   922,  0,  79
737001,20171103,   307,  0,  80,   416,  0,  61
737001,20171103,   400,  0,  90,   711,  0,  81
737001,20171103,   453,  0,  76,   594,  0,  74
737001,20171103,   728,  0,  62,   869,  0,  53
737001,20171103,    52, -1,  77,   794,  1,  73
737001,20171103,   966,  0,  92,   221,  0,  88
737002,20171104,   305,  0,  86,   416,  0,  82
737002,20171104,   307,  0,  69,   922,  0,  65
737002,20171104,   794,  1,  88,   453, -1,  75
737002,20171104,   966,  0,  79,   711,  0,  76
737002,20171104,    52,  0,  88,   594,  0,  69
737002,20171104,   869,  0,  66,   400,  0,  65
737002,20171104,   907,  0,  67,   728,  0,  64
737002,20171104,   545, -1,  75,   395,  1,  72
737003,20171105,   711,  0,  79,   907,  0,  71
737003,20171105,   197,  0,  83,   869,  0,  69
737003,20171105,   966,  0,  60,   400,  0,  55
737008,20171110,    11,  0,  82,   547,  0,  70
737008,20171110,    93,  1,  85,   516, -1,  65
737008,20171110,   661, -1,  65,    94,  1,  59
737008,20171110,   113,  1,  82,   442, -1,  64
737008,20171110,   953,  1,  88,   548, -1,  79
737008,20171110,   183,  1,  68,   833, -1,  60
737008,20171110,   167,  1, 107,   814, -1,  77
737008,20171110,   177,  1,  85,   995, -1,  57
737008,20171110,   205,  1,  70,   187, -1,  58
737008,20171110,   168,  1, 109,   686, -1,  73
737008,20171110,   235,  1, 110,   155, -1,  62
737008,20171110,   237,  1,  78,    60, -1,  77
737008,20171110,    97, -1,  78,   258,  1,  69
737008,20171110,   261,  1,  97,   285, -1,  68
737008,20171110,   558, -1,  55,   320,  1,  54
737008,20171110,   334,  1,  84,   398, -1,  75
737008,20171110,   342,  1,  67,   457, -1,  65
737008,20171110,   344,  1,  79,   107, -1,  54
737008,20171110,   374,  1,  85,   148, -1,  84
737008,20171110,   376,  1,  73,   579, -1,  64
737008,20171110,   389,  1,  77,    44, -1,  74
737008,20171110,   417, -1,  90,   415,  1,  69
737008,20171110,   444,  1,  73,   976, -1,  63
737008,20171110,   481,  1,  87,   893, -1,  42
737008,20171110,   528,  1, 102,   926, -1,  91
737008,20171110,   536,  1,  74,   513, -1,  69
737008,20171110,   541,  1,  95,   984, -1,  69
737008,20171110,   557,  1,  77,   338, -1,  45
737008,20171110,   560,  1,  98,   656, -1,  66
737008,20171110,   590,  1,  79,   109, -1,  78
737008,20171110,   623,  1,  71,   725, -1,  62
737008,20171110,   157,  1, 116,   555, -1,  76
737008,20171110,   637,  1,  95,  1040, -1,  39
737008,20171110,   625,  1, 104,   360, -1,  80
737008,20171110,   628,  1, 102,   994, -1,  67
737008,20171110,   654,  1,  86,   663, -1,  69
737008,20171110,   682,  1,  85,   423, -1,  71
737008,20171110,   690,  1,  95,   771, -1,  64
737008,20171110,   697,  1,  57,   928, -1,  54
737008,20171110,   715,  1,  86,   131, -1,  75
737008,20171110,   739,  1,  84,   397, -1,  55
737008,20171110,   747,  1, 105,   837, -1,  74
737008,20171110,   762,  1,  84,   958, -1,  60
737008,20171110,   240, -1,  76,   766,  1,  63
737008,20171110,   767,  1,  90,   370, -1,  75
737008,20171110,   784,  1,  94,   169, -1,  38
737008,20171110,   824,  1,  90,   298, -1,  68
737008,20171110,   845,  1,  60,   310, -1,  59
737008,20171110,   646, -1,  77,   855,  1,  75
737008,20171110,   862,  1,  77,   641, -1,  61
737008,20171110,   906,  1,  77,   207, -1,  45
737008,20171110,   531,  0,  76,   890,  0,  61
737008,20171110,   913,  1,  88,   736, -1,  53
737008,20171110,   981,  1,  94,   356, -1,  65
737008,20171110,   989,  1,  75,   194, -1,  60
737008,20171110,   990,  1,  60,   959, -1,  48
737008,20171110,   992,  1, 111,   249, -1,  79
737008,20171110,   335, -1,  85,  1007,  1,  83
737008,20171110,   793, -1,  81,  1068,  1,  66
737008,20171110,   843, -1,  73,  1074,  1,  52
737008,20171110,  1082,  1, 101,   597, -1,  49
737008,20171110,   384,  1, 100,  1061, -1,  66
737008,20171110,   390, -1,  69,   800,  1,  64
737008,20171110,    15,  1,  69,   419, -1,  67
737008,20171110,    83,  1,  76,   599, -1,  59
737008,20171110,   621,  1,  81,   295, -1,  63
737008,20171110,    40,  1,  95,   807, -1,  56
737008,20171110,    47,  1, 102,   652, -1,  74
737008,20171110,   946,  1,  96,   428, -1,  67
737008,20171110,    66,  1, 107,   145, -1,  66
737008,20171110,   211,  1,  92,  1083, -1,  76
737008,20171110,   297,  1,  77,    41, -1,  63
737008,20171110,   396,  1,  81,   540, -1,  53
737008,20171110,   410,  1, 102,   848, -1,  55
737008,20171110,   406,  1,  65,   626, -1,  55
737008,20171110,   420,  1,  95,   163, -1,  62
