 284, Elms
 285, Elon
 286, Embry-Riddle_FL
 287, Emerson
 288, Emmanuel_GA
 289, Emmanuel_MA
 290, Emory
 291, Emory_&_Henry
 292, Emporia_St
 293, Endicott
 294, Erskine
 295, ETSU
 296, Eureka
 297, Evansville
 298, F_Dickinson
 299, Fairfield
 300, Fairmont_St
 301, Farmingdale
 302, Fayetteville_St
 303, FDU_Madison
 304, Felician
 305, Ferris_St
 306, Ferrum
 307, Findlay
 308, Finlandia
 309, Fitchburg_St
 310, FL_Atlantic
 311, FL_Gulf_Coast
 312, FL_Southern
 313, Flagler
 314, Florida
 315, Florida_A&M;
 316, Florida_Intl
 317, Florida_St
 318, Florida_Tech
 319, Fontbonne
 320, Fordham
 321, Fort_Hays_St
 322, Fort_Valley_St
 323, Framingham_St
 324, Francis_Marion
 325, Franciscan_OH
 326, Frank_&_Marsh
 327, Franklin_IN
 328, Franklin_Pierce
 329, Fresno_Pacific
 330, Fresno_St
 331, Frostburg_St
 332, Ft_Lewis
 333, Furman
 334, G_Washington
 335, Ga_Southern
 336, Gallaudet
 337, Gannon
 338, Gardner_Webb
 339, Geneseo_St
 340, Geneva
 341, George_Fox
 342, George_Mason
 343, Georgetown
 344, Georgia
 345, Georgia_C&S;
 346, Georgia_St
 347, Georgia_SW
 348, Georgia_Tech
 349, Georgian_Court
 350, Gettysburg
 351, Glenville_St
 352, Goldey_Beacom
 353, Gonzaga
 354, Gordon
 355, Goucher
 356, Grambling
 357, Grand_Canyon
 358, Grand_Valley_St
 359, Green_Mtn
 360, Greensboro
 361, Greenville
 362, Grinnell
 363, Grove_City
 364, Guilford
 365, Gust_Adolphus
 366, Gwynedd-Mercy
 367, Hamilton
 368, Hamline
 369, Hampden-Sydney
 370, Hampton
 371, Hanover
 372, Hardin-Simmons
 373, Harding
 374, Hartford
 375, Hartwick
 376, Harvard
 377, Haverford
 378, Hawaii
 379, Hawaii_Hilo
 380, Hawaii_Pacific
 381, Heidelberg
 382, Henderson_St
 383, Hendrix
 384, High_Point
 385, Hilbert
 386, Hillsdale
 387, Hiram
 388, Hobart_&_Smith
 389, Hofstra
 390, Holy_Cross
 391, Holy_Family
 392, Holy_Names
 393, Hood
 394, Hope
 395, Houghton
 396, Houston
 397, Houston_Bap
 398, Howard
